id;start_date;end_date;language
1;2020-10-12T11:10:47;2020-10-12T09:01:02;SPANISH
2;2020-10-11T16:00:58;2020-10-12T11:05:23;SPANISH
3;2020-10-12T06:56:17;2020-10-11T17:30:26;FRENCH
4;2020-10-11T22:13:48;2020-10-12T09:45:14;FRENCH
5;2020-10-12T07:44:06;2020-10-12T12:31:05;FRENCH
6;2020-10-12T01:36:27;2020-10-12T13:44:41;FRENCH
7;2020-10-12T03:21:47;2020-10-11T21:12:38;FRENCH
8;2020-10-12T02:18:00;2020-10-12T12:34:08;SPANISH
9;2020-10-12T00:59:09;2020-10-11T21:40:32;SPANISH
10;2020-10-12T09:11:13;2020-10-11T19:45:43;SPANISH
